Item,Price,Link,Quantity
ESP32 DevKit V1,~7$,https://shortlink.uk/1vkuV,1
Capacitive soil moisture sensor v1.2 ,5$,https://shorturl.at/3VSwV,1
1 Channel Relay Module,2$-3$,https://shorturl.at/jhp8j,1
FPD-180K80-DC24V Solenoid Feed Valve,$8,https://shorturl.at/AlwTq,1
24V 0.5A DC Power Supply Adapter ,$10,https://shorturl.at/P9sPZ,1
1N4007 diode,$1,https://shorturl.at/y7W71,Pack
Breadboard,$10,https://l1nk.dev/uzbsl38,1
Jumper wires,$8,https://l1nk.dev/i9meakx,Pack
Normal wires,$4,https://shorturl.at/ygMDc,Pack
Usb cable for ESP32,$2,https://shorturl.at/VlY7y,1
"Pipe ( 1/4"" Size) for purifiers",$3-$4,https://shorturl.at/fXBLP,1
Multimeter(Optional),$6,https://shorturl.at/YAGk5,1
Oled display(Optional),$6,https://shorturl.at/uvh9P,1
Waterproof Box,$7,https://h1.nu/1p-2Y,1
"Solar Panel 70x70mm, 4V, 100mA",$4,https://shorturl.at/NjqiL,1
MT3608 Boost Converter ,$6,https://shorturl.at/b5so8,1
TP4056 Charger Module ,$6,https://shorturl.at/bXgLx,1
Lithium-ion battery 18650,$2,https://shorturl.at/1rUtV,1
18650 Series Batteries Holder,$2,https://shorturl.at/PRn9Q,1
Total,~$92,,